longitude,latitude,h_over_geoid,gravity_anomaly,gnss_site,gnss_latitude_deg,gnss_longitude_deg,gnss_height_m,gnss_east_m,gnss_north_m,gnss_up_m,gnss_sig_e_m,gnss_sig_n_m,gnss_sig_u_m,gnss_corr_en,gnss_corr_eu,gnss_corr_nu,gnss_ant_m,gnss_n_dias,gnss_fecha_ini,gnss_fecha_fin,dist_gnss_km
-73.26000000,5.92000000,2157.68000000,44.65869561,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,44.72040000
-73.21000000,5.92000000,2716.12000000,43.09252966,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,46.45080000
-73.16000000,5.92000000,2795.48000000,41.59877922,TUNA,5.53132952,-73.36388200,2831.85197739,0.03990041,0.80109185,0.85197735,0.00094499,0.00078197,0.00354348,-0.03792231,0.07457817,0.04576927,0.07550032,4691.00000000,05OCT26,25DEC31,48.75090000
-73.11000000,5.92000000,3045.40000000,40.07711909,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,46.29880000
-73.06000000,5.92000000,3632.92000000,38.51458021,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,40.87640000
-73.01000000,5.92000000,3610.88000000,37.02852365,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,35.48710000
-72.96000000,5.92000000,2938.00000000,35.60487810,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,30.14870000
-72.91000000,5.92000000,3042.36000000,34.09699559,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,24.89410000
-72.86000000,5.92000000,2708.16000000,32.62685470,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,19.78980000
-72.81000000,5.92000000,2490.40000000,31.14437680,SOCB,5.99669408,-72.69852634,2692.22518905,0.15540331,0.36541401,0.22518894,0.00166413,0.00183019,0.00946377,0.12020973,0.02206939,0.60654578,0.03500000,560.00000000,24MAR21,25DEC31,14.99050000
